roman,devanagari
Jaba timi ayou mero jindagima,जब तिमी आयौ मेरो जिन्दगीमा
Mero haat samai kahi door jana,मेरो हात समाई कहीँ दूर जान
Beglai bho mero yo duniya hijo bhanda,बेग्लै भो मेरो यो दुनियाँ हिजोभन्दा
Achanak badliyo manau tyo mero hoina,अचानक बद्लियो, मानौँ, त्यो मेरो होइन
Jaba timi ayou mero bipanima,जब तिमी आयौ मेरो बिपनीमा
Maile bhuli diye yo sara jamana,मैले भुलिदिएँ यो सारा जमाना
Jaba timi ayou,जब तिमी आयौ
Din duiguna raat chauguna,दिन दुईगुना, रात चौगुना
Timi prati maya badhdocha,तिमीप्रति माया बढ्दो छ (बढ्दो छ)
Praya samjhanchu ma timilai,प्रायः सम्झन्छु म तिमीलाई (तिमीलाई)
Kasari basyo kunni maya khoi,कसरी बस्यो कुन्नि माया, खै, आ—हा
Mayako yasto modma hami aaipugyou,मायाको यस्तो मोडमा हामी आइपुग्यौँ
Bhabishyako mitho kalpana bhulisakyou,भविष्यको मीठो कल्पना बुनिसक्यौँ
Jaba timi ayou basna yo manma,जब तिमी आयौ बस्न यो मनमा
Maile sumpi diye sabai timrai naamma,मैले सुम्पिदिएँ सबै तिम्रै नाममा
Jaba timi ayou,जब तिमी आयौ
Beglai bho mero yo duniya hijo bhanda,बेग्लै भो मेरो यो दुनियाँ हिजोभन्दा
Achanak badliyo manau tyo mero hoina,अचानक बद्लियो, मानौँ, त्यो मेरो होइन
Jaba timi ayou mero jindagima,जब तिमी आयौ मेरो जिन्दगीमा
Mero haat samai kahi door jana,मेरो हात समाई कहीँ दूर जान
Upahar swaroop yo tasbeer maya garne haru lai,उपहारस्वरूप यो तस्बीर माया गर्नेहरूलाई
Bhalai choto hola yaha sabai drishya atauna lai,भलै छोटो होला यहाँ सबै दृष्य अटाउनलाई
Jindagi narahos rahi rahanecha yesma kaid pal haru,जिन्दगी नरहोस् रहिरहनेछ यसमा कैद पलहरू
Timi chau timro pyaro manche cha,तिमी छौ तिम्रो प्यारो मान्छे छ
Tyo bhanda aru ke nai chahincha,त्योभन्दा अरू के नै चाहिन्छ
Euta maya garne byakti lai,एउटा माया गर्ने व्यक्तिलाई
Ho no no na na na na na,Ho no—no ना ना—ना—ना—ना
Timi nai hau malai maya garne,तिमी नै हौ मलाई माया गर्ने
Timi nai hau timi nai hau timi nai hau timi nai hau,तिमी नै हौ तिमी नै हौ तिमी नै हौ तिमी नै हौ
Timi nai hau malai khusi dine,तिमी नै हौ मलाई खुसी दिने
Timi nai hau timi nai hau timi nai hau timi nai hau,तिमी नै हौ तिमी नै हौ तिमी नै हौ तिमी नै हौ
Timi nai hau,तिमी नै हौ
Oh timi nai hau,Oh तिमी नै हौ
Na na na na,ना—ना ना—ना
Hera malai samau yo haat,हेर मलाई समाऊ यो हात
Nachutos hamro darilo sath,नछुटोस् हाम्रो दरिलो साथ
Dekhne le dekhos sunos,देख्नेले देखोस् सुनोस्
Hamro yo sambandha,हाम्रो यो सम्बन्ध
Paschatap chaina kunai yaha,पश्चात्ताप छैन कुनै यहाँ
Khusi chau hami chau jaha,खुसी छौँ हामी छौँ जहाँ
Bhanne le bhanos garos,भन्नेले भनोस् गरोस्
Hamro bare kura,हाम्रोबारे कुरा
Jati j cha mero timi hau,जति—जे छ मेरो तिमी हौ
Timi nai hau,तिमी नै हौ
Malai afno bhanne,मलाई आफ्नो भन्ने
Timi nai hau timi nai hau timi nai hau timi nai hau,तिमी नै हौ तिमी नै हौ तिमी नै हौ तिमी नै हौ
Timi nai hau,तिमी नै हौ
Oh no no yeah timi nai hau,Oh no—no yeah तिमी नै हौ
Na na na na,ना—ना ना—ना
Timi nai hau yeah,तिमी नै हौ yeah
Timi nai timi timi timi timi,तिमी नै तिमी तिमी तिमी तिमी
Timi nai hau yeah,तिमी नै हौ yeah
Oh whoa oh yeah,Oh whoa—oh yeah
Timi nai hau,तिमी नै हौ
Maski Maski Hidera Jane Le,मस्कीमस्की हिँडेर जानेले
Musu Musu Hasera Herne Le,मुसुमुसु हासेर हेर्नेले
Pagal Banaki Che Ghayal Banaki Che,पागल बनाकी छे घायल बनाकी छे
Malai Pagal Banaki Che Ghayal Banaki Che,मलाई पागल बनाकी छे घायल बनाकी छे
Maski Maski Hidera Jane Le,मस्कीमस्की हिँडेर जानेले
Musu Musu Hasera Herne Le,मुसुमुसु हासेर हेर्नेले
Pagal Banaki Che Ghayal Banaki Che,पागल बनाकी छे घायल बनाकी छे
Malai Pagal Banaki Che Ghayal Banaki Che,मलाई पागल बनाकी छे घायल बनाकी छे
Kahile Kahin Bazar Ma,कहिले काहीँ बजारमा
Usko Hamro Bhet Hunda,उस्को हाम्रो भेट हुँदा
Luki Luki Herche Malai,लुकीलुकी हेर्छे मलाई
Kahile Kahin Bazar Ma,कहिले काहीँ बजारमा
Usko Hamro Bhet Hunda,उस्को हाम्रो भेट हुँदा
Luki Luki Herche Malai,लुकीलुकी हेर्छे मलाई
U Jaba Bolaunche Jiskaudai,ऊ जब बोलाउँछे जिस्क्याउँदै
Ankha Haru Sankaunche Jhimkaudai,आँखाहरू सन्काउछे झिम्काउँदै
U Jaba Bolaunche Jiskaudai,ऊ जब बोलाउँछे जिस्क्याउँदै
