category,title_clean,artist_clean,lyrics_devanagari,line_count,char_count,script_style_original,script_style_cleaned,transliterated
nepali,Euta Mancheko,Narayan Gopal,"एउटा मान्छेको मायाले
कति
फरक पर्दछ जिन्दगीमा
एउटा मान्छेको मायाले
कति
फरक पर्दछ जिन्दगीमा
एउटा साथीको साथले कति
फरक पर्दछ जिउनुमा
एउटा मान्छेको मायाले
कति
फरक पर्दछ जिन्दगीमा
शिशिर यामकाे जाडोमा
पनि
शिशिर यामकाे जाडोमा
पनि
फुल्दछ फुल मुस्कानकाे
अधाँराे अाैंशीकाे
रातमा पनि
बल्दछ दियो विश्वासको
नयनभरीकाे अाशुमा पनि
नयनभरीकाे अाशुमा पनि
बसेकाे हुन्छ तस्बिर
त्यो
हृदयभरीकाे चाेटमा पनि
लुकेको हुन्छ मायालु
त्यो
एउटा मान्छेको मायाले
कति
फरक पर्दछ जिन्दगीमा
बिछाेड हुदाकाे दुखमा
पनि
बिछाेड हुदाकाे दुखमा
पनि
भराेसा हुन्छ मिलनकाे
झगडा हुदाकाे बेलामा
पनि
पत्यार हुन्छ
साहाराकाे
मायालु बिनाकाे हुदाे
हो कति
मायालु बिनाकाे हुदाे
हो कति
उराथ लाग्दाे संन्सार
यो
पीरति बिनाकाे
हुदाेहाे कति
निरासिकलाे सम्झना यो
एउटा मान्छेको मायाले
कति
फरक पर्दछ जिन्दगीमा",50,743,mixed,devanagari,0
nepali,गाउँछ गीत नेपाली (Gaucha Geet Nepali),Madhav prasad ghimire,"जय, जय, जय नेपाल, सुन्दर, शान्त, बिशाल
सुन्दर, शान्त, बिशाल
जय, जय, जय नेपाल, सुन्दर, शान्त, बिशाल
सुन्दर, शान्त, बिशाल
गण्डकी, कोसी, कर्णाली, मेची, र महाकाली
लेक र बेसी बिउझाउँछन्, लहर लाखौँ उचाली
हिमालचुली बोलाउँछ पहिलो झुल्का निकाली
सगरमाथा शिखरमा पुग्दछ पहिले नेपाली
सीताले सारा भिजाइन दक्षिण लंका-भारत
भृकुटी तारा उदाइन उत्तर चीन-तिब्बत
बुद्धले यहीँ पाएथे ज्ञानको पहिलो मुहान
शिवले यहीँ ल्याएथे सृस्टीको पहिलो बिहान
जय, जय, जय नेपाल, सुन्दर, शान्त, बिशाल
सुन्दर, शान्त, बिशाल
पश्चिम किल्ला काँगडा, पूर्वमा टिस्टा पुगेथ्यौँ
कुन शक्तिको सामुमा कहिले हामी झुकेथ्यौँ?
हामीले हिमाल उठायौँ एसियाको माझमा
सभ्यता बास बसेथ्यो आएर यहीँ साँझमा
यही नेपाली माटोमा दिलको फूल रोपेर
यही पहाडी शिलामा प्रीतको गीत खोपेर
बाँचौला हामी नेपालमा चन्द्र र सुर्य ध्वोजा लिई
नाँचौला हामी हिमालमा ज्योतिको पंख उचाली
जय, जय, जय नेपाल, सुन्दर, शान्त, बिशाल
सुन्दर, शान्त, बिशाल
जय, जय, जय नेपाल, सुन्दर, शान्त, बिशाल
सुन्दर, शान्त, बिशाल
सुन्दर, शान्त, बिशाल, सुन्दर, शान्त, बिशाल",27,956,mixed,devanagari,0
romanized,KT Nepali,SACAR aka Lil Buddha & Chintu,"मलाई मन पर्चा केटी नेपाली
गाउ गोरी काली उसको ओठ मा लाली
अली अली नख्रा उसको चाला बिराली
घुम्टो त्यो हाली आहा केटी नेपाली
हाम्रो घर चेउ को घर मा बस्ने केटी सराई पोट
साझ जोगिङ अनी जिम चाइ ब्याना को साधे दास
च्यारा, हेर्दा हेर्दै मलाई परिसक्यो लव
हरेक सुक्रबार राती ओओ निस्किन्छे जाना लाई क्लब
तारा, चोटो लुगा वन्द सरी मै बबाल
चुरो लगाई, जुरो बनाई, पारी झै कपाल
कुर्दिना मा टिमलाई पाउन, चैन कुनै सवाल
तिमी मेरो करिशमा मा तिम्रो राजेश हमाल
बा ले नमाने टिमलाई लान्चु भागै
हाम्रो माया को दियो मा बल्चु सलाई
आगो निवाइदेउ की निवाइदेउ मेरो उनी को वुमीका
ढाल्थे होला ठाउ को ठाउ माआ मा तिम्रो ओठ ले चुमिदा
ना ना ना ना ना ना ना ना, नकै मा फुली
गजलु टीका अनी दुई चुल्थो नवुली
पा पा पा पा पा पा पा पा, पातलो कम्मर
एकचोटि लयेसी नेपाली माया अजम्बर",20,730,romanized,devanagari,1
nepali,Emerge - Maicha,Genius Nepali Translations (नेपाली आनुवाद),"फुल हेरेइ, तिम्रै सम्झना आयो
माँ मेरो, सिलात व्है दियो
तेसैले तिमी नजाउ
चोडेर मलाई येता
हुरी आयेनी पानी परेनी
तिमी मात्रै, मेरो माँ भित्र
कहा जना लागेको
कहा जना लागेको
कहा जना लागेको, ओ मायालु
नजाउ अहिले, हत्तारिनु पर्चा रा
कहा जना लागेको रे
कहा जना लागेको
कहा जना लागेको
कहा जना लागेको, ओ मायालु
नजाउ अहिले, हत्तारिनु पर्चा रा
कहा जना लागेको रे
ओएच ओएच ओएच ओएच
ओएच ओएच ओएच ओएच
मायालु
ओएच ओएच ओएच ओएच
ओएच ओएच ओएच ओएच
मायालु",22,423,mixed,devanagari,1
nepali,Himali Nepali,Mantra Band,"गौथली चिरबिर गर्दैन
भने त्यो होइन गौथली
कोयली कुहु भन्दैन
भने त्यो होइन कोयली
गर्भ नै बाट आउछँन
सबै भेष र भाषाली
यो भेष र भाषा नबिर्सौं हामी
हिमाली, नेपाली
कसैले पो भन्ला तिमीलाई
कतै त्यो होइन तिम्रो देश
भन्दिनु उनलाई जहाँ म
उभेछु त्यहिँ हो मेरो देश
सगरमाथा सेरो र
फेरो हिमाली प्रदेश
यसैमा बित्यो विवशता हाम्रो
यहिँ हो मेरो देश
भाषा र संस्कृती सबको जनमको
सबको जनमको अधिकार
कसैमा यो धुन नहोला भने
त्यसैलाई छ मेरो धिक्कार
बाच्न र हास्न पाइन्न भने
पाइन्न भने के को स्वाधिनता?
बाच्नलाई गासँ नभए
भैगो आमा चाहिन्छ
मर्मको कुरा खोल्न गर्भको
गर्भको भाषा त चाहिन्छ",26,554,mixed,devanagari,0
romanized,Raila Roka - Nepali Ho Ft. Vten,Genius Romanizations,"हिमाल, पहाड, तेरै , हाम्रै हो
रेटो सेतो, रंगै हो
चन्द्र, सूर्य, हाम्रै हो
ढाका टोपी, हाम्रै हो
दौरा, सुरवाल, हाम्रै हो
सागरमाथा, हाम्रै हो
लिपुलेख, हाम्रै हो
गर्व गर्चु मा, नेपाली हो
हो हाइ हो, हु..... हो हो
हो हाइ
हो हाइ
हो हाइ
हु..... हो हो
बीआईआर गोर्खालिनी, हामी हो
ढाका टोपी, सिरमा लगाको
खुकुरी विदी हिदाको ओएच
संसार को माँ मा, बसेको
टिस्थ देखि कागडा सम्म, हाम्रै हो
पृथिवी बाजेयले, पहिलाई बनाको
थचाइन मेरो साथी, भाई, काटा ग्यो ?
जहा वयेपानी, अखिर तिम्रो माँ ता नेपाली हो
रैला पारा मा, हिड्नी हो
धेउसी, भैलो पानी खेल्ने हो
काँ मा, जमरा
निधार मा, टीका, आसिश
आमा, बुवा को
सिर मा, लालीगुरास अह हा ! कति सुहाको
तेसैले !
माँ बदलिदैन
समये ब्याड्ली पानी, हाम्रो
माँ बदलिदैन
दुई हात जोडी नमस्ते ! नेपाली हो
नेपाल सागरमाथा को, मुटु मा चा
3 क्रोर नेपाली, एउटै नेपाली हो
नेपाली माटो, नेपाली सबै को
हामी नेपाली, नेपाल को रक्चक हो
हामी सबै को, नेपाल आमा हो !
जन्मिये येही माटो मा, मा
जल्चु, येही माटो मा, मा
नेपाल, मेरो चाटी मा चा
स्वर्ग हो यो, चड्डिन मा",41,946,romanized,devanagari,1
nepali,Malai Chodi Mero Chaya,Narayan Gopal,"मलाई छोडी मेरो छायाँ
कतै झरेछ
तिमीसम्म आइपुग्दा
साँझै परेछ
त्यसै कति बिते मेरा
चिसा चिसा रातिहरु
तातो माया संगालेर
खोजिरहें साथीहरु
वैंश छँदा नपुगेको रातै
ढलेछ
तिमीसम्म आइपुग्दा
साँझै परेछ
नलेखेको गीत मेरो
पाखाभरि गाए जस्तो
नदेखेको माया मेरो
आँखाभरि पाए जस्तो
जिन्दगीको छेउमा कतै
ज्योति झरेछ
तिमीसम्म आइपुग्दा
साँझै परेछ",20,320,mixed,devanagari,0
nepali,いきものがかり (Ikimonogakari) - ブルーバード (Blue Bird),Genius Nepali Translations (नेपाली आनुवाद),"नीलो त्यो आकाशमा, फिजाइ पखेटा तिम्रो
उड्नेछ तिम्रो मन
नीलो त्यो आकाशमा पन्छी बनी ।
सिख्नेछौ धेरै कुरा के हो दुख भनी
अझै आउदैछन् निराशाहरू पनि
तिमी त उडी गयौ निलो आकाशमा
मेरो यो भावना सबै छोडी
अनौठो यो संसर देखि बिउझिएपछि तिमी
फिजाइ पखेटा तिम्रो र उडिजाउ ।
नीलो त्यो आकाशमा , फिजाइ पखेटा तिम्रो
उड्नेछ तिम्रो मन
नीलो त्यो आकाशमा पन्छी बनी ।
ठूलो त्यो आकाशमा , बादलहरूको भीडमा
उड्दैछ तिम्रो मन
बादलहरूको माझ पन्छी बनी
कठिन नै छ उडान
बुझ्दैछु व्यथा त्यो
नमान हार , अघि बड
उज्यालो भविष्य तिर",19,487,mixed,devanagari,0
nepali,K Pais Nepali ?,The Shadows 'Nepal',"के पाइस् नेपाली? केरा
सत्र हजारलाई शहिद बनाइस्
राजा निकालिस्, अनि बिजय मनाइस्, हेइ
गोली सलाइस्, जङ्गलमा डडाँइस्, सत्तामा आइस् अनि भुँडी फुलाइस्, हे
के पाइस् नेपाली? केरा
सिँन्का पनि नधाल्नेलाई मायोर बनाइस् तैँले
भुत्रो पनि ननापिने लोकतन्त्र ल्याइस् तैँले
दस कक्षा नि नपढेको मन्त्री बनाइस् तैँले
चुट्किलाको मास्टरलाई प्र.म. बनाइस् तैँले
के पाइस् नेपाली? केरा
हरियो केरा, पहेलो केरा, पाकेको केरा, काँचो केरा
हरियो केरा, पहेलो केरा, पाकेको केरा, काँचो केरा
हरियो केरा, पहेलो केरा, पाकेको केरा, काँचो केरा
हरियो केरा, पहेलो केरा, पाकेको केरा, काँचो केरा
के पाइस् नेपाली? केरा
बिचार पोख्छस् कम्प्युटर मा, दुई हजार लाइक्स, अनि
रोजगारीको सुटकेस बोकि बिदेश पलाएन, अनि
सपना देख्छस् पानी जहाजको, गाडी खोलामा, अनि
गु दिमाग लाइस्, आफू भेडा बनाइस्, अनि
के पाइस् नेपाली? केरा",20,761,mixed,devanagari,1
nepali,ROSÉ - Gone,Genius Nepali Translations (नेपाली आनुवाद),"सम्झन्छौ भनेर सोचेको थिँँए, तर बिर्सियौ जस्तो छ
तिमीलाई दोश पनि दिन सक्दिन, जब तिमी आफैँ हराइसकेको छौ
ओएच, येआह
थाकिसके सधैँ पर्खिरहदा
ओएच, येआह, येआह
फोन नम्बर फेरेछौ, त्यसैले मेरो कल नपाएको होला
मैले आफ्नो सबै दिएको थिँए, अहिले मसंगै संलग्न हुन चाहान्नौ
ओएच, येआह, येआह
आफै सामना गर्ने बेला भयो
ओएच, येआह, येआह
तिम्रो लागि म एकमात्रै हुन चाहान्छु
तर तिम्रो लागि हामी सक्किसक्यौँ
भन, किन मलाई पीडा दिएर गयौ?
अहिले म एक्लै रुइरहेको छु
मजाकको लागि मेरो मन तोड्यौ
मेरो माया सबै लग्यो र मलाई सुन्न बनायौ
अहिले बिहानको ८ बजिसक्यो
एकबिहानै मनमा घृणा भरिसक्यो (सबै तिमीले गर्दा)
यो अर्को दुःखी र साँचो कथा
म पीडा महसुस गर्न सक्छु, तिमी?
मलाई निराश पार्ने, मेरो मन नीलो रंगाउने तिमी नै भयौ
म तिमी नयाँ मान्छे सँग देख्न सक्दिन
म उ र तिमी माथि सराप हालिदिन्छु
अब पछाडि हेर्दिन, मेरो लागि तिमी मरेर गयौ
मेरो माया पनि हरायो",25,812,mixed,devanagari,1
